,name,syllables,state,fraction
711,Michele,2,NY,0.151180803
712,Nyla,2,NY,0.0865616
713,Rebeca,3,CA,0.339652227
714,Cheryl,2,CA,0.085749297
715,Janell,2,CA,0.167524234
716,Vicky,2,CA,0.11098034
717,Cherie,2,CA,0.15174967
718,Celine,2,CA,0.309854553
719,Jill,1,NY,0.089248875
720,Dianne,2,NY,0.082346503
721,Jolene,2,CA,0.135637239
722,Reina,2,CA,0.331594394
723,Cathy,2,CA,0.088971914
724,Deanna,3,CA,0.121323427
725,Graciela,4,TX,0.455054896
726,Marybeth,3,NY,0.240388086
727,Lourdes,2,CA,0.312221305
728,Jeannine,2,NY,0.134425584
729,Jennifer,3,CA,0.11840566
730,Danna,2,TX,0.249482951
731,Dalia,3,CA,0.320337311
732,Shelley,2,CA,0.115270442
733,Dianna,3,CA,0.12319897
734,Jacklyn,2,CA,0.194383467
735,Adrianne,3,CA,0.163777042
736,Shannon,2,CA,0.110368856
737,Annemarie,3,NY,0.252260357
738,Michelle,2,CA,0.140106106
739,Sandy,2,CA,0.170153616
740,Erika,3,CA,0.201773215
741,Noemi,3,CA,0.368919376
742,Suzette,2,CA,0.19655934
743,Debra,2,CA,0.080740514
744,Annmarie,3,NY,0.301826489
745,Christy,2,CA,0.088068405
746,Jaqueline,3,CA,0.356438183
747,Sharlene,2,CA,0.188660697
748,April,2,CA,0.109314334
749,Esmeralda,4,CA,0.361924269
750,Lynnette,2,CA,0.153656782
751,Jeri,2,CA,0.156055237
752,Tanya,2,CA,0.133090985
753,Deirdre,2,NY,0.28774136
754,Rhonda,2,TX,0.078593309
755,Rosalinda,4,TX,0.559470012
756,Charmaine,2,IL,0.133612954
757,Roxanne,2,CA,0.157792812
758,Lorelei,3,CA,0.120452874
759,Marla,2,CA,0.125040232
760,Monique,2,CA,0.246942275
761,Jeanine,2,NY,0.187660175
762,Jaclyn,2,NY,0.128922108
763,Wendy,2,CA,0.140184704
764,Karla,2,CA,0.20200787
765,Tamara,3,CA,0.123492843
766,Leticia,3,CA,0.376055009
767,Angelia,4,TX,0.093228031
768,Luann,2,PA,0.1091659
769,Janine,2,NY,0.214790985
770,Jenna,2,CA,0.096253236
771,Jody,2,CA,0.083420881
772,Janna,2,TX,0.136933199
773,Jerri,2,TX,0.111361045
774,Darla,2,CA,0.121788486
775,Kim,1,NY,0.119736876
776,Leilani,3,CA,0.2942036
777,Melody,3,CA,0.163906851
778,Heather,2,CA,0.090441089
779,Leann,2,CA,0.113227599
780,Leanne,2,CA,0.143565584
